Client Code,TradeDate,Segment,ScripName,ScripCode,Strike Price,ExpiryDate,ISIN,BuyQty,BuyPrice,BuyAmount,SellQty,SellPrice,SellAmount,Ord,
105629,05/12/2022,CASH,ADANI ENTERPRISES LTD.,,0,,INE423A01024,10,3932.85,39328.50,0,0.00,0.00,10000,
105629,27/09/2022,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,5,850.00,4250.00,0,0.00,0.00,10000,
105629,29/09/2022,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,5,840.00,4200.00,0,0.00,0.00,10000,
105629,12/10/2022,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,5,803.00,4015.00,0,0.00,0.00,10000,
105629,24/10/2022,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,2,807.00,1614.00,0,0.00,0.00,10000,
105629,27/01/2023,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,5,604.00,3020.00,0,0.00,0.00,10000,
105629,08/06/2023,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,5,737.00,3685.00,0,0.00,0.00,1686213,
105629,13/06/2023,CASH,ADANI PORTS AND SPECIAL ECONOM,,0,,INE742F01042,3,738.00,2214.00,0,0.00,0.00,1686642,
105629,06/01/2022,CASH,Aditya Birla Capital Ltd,,0,,INE674K01013,0,0.00,0.00,7,133.00,931.00,10000,
105629,22/07/2020,CASH,Alkem Laboratories Limited,,0,,INE540L01014,1,2440.00,2440.00,0,0.00,0.00,10000,
105629,11/06/2021,CASH,Alkem Laboratories Limited,,0,,INE540L01014,0,0.00,0.00,1,3140.00,3140.00,10000,
105629,24/11/2020,CASH,AMBUJA CEMENTS LTD.,,0,,INE079A01024,5,257.00,1285.00,0,0.00,0.00,10000,
105629,21/12/2020,CASH,AMBUJA CEMENTS LTD.,,0,,INE079A01024,5,240.00,1200.00,0,0.00,0.00,10000,
105629,28/03/2022,CASH,AMBUJA CEMENTS LTD.,,0,,INE079A01024,10,291.00,2910.00,0,0.00,0.00,10000,
105629,19/08/2022,CASH,AMBUJA CEMENTS LTD.,,0,,INE079A01024,0,0.00,0.00,20,422.20,8444.00,10000,
105629,14/07/2020,CASH,ANDHRA SUGARS LTD.,,0,,INE715B01021,10,285.50,2855.00,0,0.00,0.00,10000,
105629,13/10/2022,CASH,ANDHRA SUGARS LTD.,,0,,INE715B01021,0,0.00,0.00,9,143.70,1293.30,10000,
105629,13/10/2022,CASH,ANDHRA SUGARS LTD.,,0,,INE715B01021,0,0.00,0.00,14,143.70,2011.80,10000,
105629,13/10/2022,CASH,ANDHRA SUGARS LTD.,,0,,INE715B01021,0,0.00,0.00,12,143.70,1724.40,10000,
105629,13/10/2022,CASH,ANDHRA SUGARS LTD.,,0,,INE715B01021,0,0.00,0.00,15,143.70,2155.50,10000,
105629,14/07/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,50,124.50,6225.00,0,0.00,0.00,10000,
105629,15/07/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,50,121.50,6075.00,0,0.00,0.00,10000,
105629,27/08/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,13,129.20,1679.60,10000,
105629,27/08/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,7,129.00,903.00,10000,
105629,28/08/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,10,131.00,1310.00,10000,
105629,09/12/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,5,127.30,636.50,10000,
105629,09/12/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,5,127.30,636.50,10000,
105629,09/12/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,40,127.30,5092.00,10000,
105629,31/12/2020,CASH,Apollo Micro Systems Limited,,0,,INE713T01028,0,0.00,0.00,20,125.30,2506.00,10000,
105629,13/08/2020,CASH,ASHOK LEYLAND LTD.,,0,,INE208A01029,10,60.50,605.00,0,0.00,0.00,10000,
105629,17/11/2020,CASH,ASHOK LEYLAND LTD.,,0,,INE208A01029,10,92.80,928.00,0,0.00,0.00,10000,
105629,25/01/2021,CASH,ASHOK LEYLAND LTD.,,0,,INE208A01029,5,117.00,585.00,0,0.00,0.00,10000,
105629,01/03/2021,CASH,ASHOK LEYLAND LTD.,,0,,INE208A01029,0,0.00,0.00,25,132.15,3303.75,10000,
105629,16/07/2020,CASH,ATUL AUTO LTD.,,0,,INE951D01028,10,177.00,1770.00,0,0.00,0.00,10000,
105629,30/09/2020,CASH,ATUL AUTO LTD.,,0,,INE951D01028,0,0.00,0.00,10,171.00,1710.00,10000,
105629,23/07/2020,CASH,AUROBINDO PHARMA LTD.,,0,,INE406A01037,5,815.00,4075.00,0,0.00,0.00,10000,
105629,05/01/2022,CASH,AUROBINDO PHARMA LTD.,,0,,INE406A01037,0,0.00,0.00,5,723.00,3615.00,10000,
105629,13/07/2020,CASH,Avenue Supermarts Limited,,0,,INE192R01011,1,2223.00,2223.00,0,0.00,0.00,10000,
105629,19/08/2020,CASH,Avenue Supermarts Limited,,0,,INE192R01011,0,0.00,0.00,1,2297.00,2297.00,10000,
105629,07/12/2022,CASH,Avenue Supermarts Limited,,0,,INE192R01011,1,4059.00,4059.00,0,0.00,0.00,11000,
105629,07/12/2022,CASH,Avenue Supermarts Limited,,0,,INE192R01011,1,4059.00,4059.00,0,0.00,0.00,11000,
105629,07/12/2022,CASH,Avenue Supermarts Limited,,0,,INE192R01011,3,4059.00,12177.00,0,0.00,0.00,11000,
105629,16/12/2022,CASH,Avenue Supermarts Limited,,0,,INE192R01011,1,3970.00,3970.00,0,0.00,0.00,11000,
105629,16/01/2024,CASH,Avenue Supermarts Limited,,0,,INE192R01011,0,0.00,0.00,6,3850.00,23100.00,11000,
105629,09/09/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,2,430.00,860.00,0,0.00,0.00,1599622,
105629,18/09/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,439.00,439.00,0,0.00,0.00,1600399,
105629,21/09/2020,CASH,AXIS BANK LTD.,,0,,INE238A01034,1,438.00,438.00,0,0.00,0.00,1600659,
